Symbol,Name,Country,Sector,Industry
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
AGNCZ,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock,United States,,
AGYS,Agilysys Inc. Common Stock (DE),United States,Technology,EDP Services
AHCO,AdaptHealth Corp. Common Stock,United States,Health Care,Medical/Nursing Services
AHG,Akso Health Group ADS,China,Real Estate,Real Estate
AIIO,Robo.ai Inc. Class B Ordinary Shares,United Arab Emirates,Industrials,Auto Manufacturing
AIOT,PowerFleet Inc. Common Stock,United States,Telecommunications,Telecommunications Equipment
AIP,Arteris Inc. Common Stock,United States,Technology,Semiconductors
AIRO,AIRO Group Holdings Inc. Common Stock,United States,Industrials,Aerospace
AIRS,AirSculpt Technologies Inc. Common Stock,United States,Health Care,Medical/Nursing Services
AKAM,Akamai Technologies Inc. Common Stock,United States,Real Estate,Real Estate
AKBA,Akebia Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AKRO,Akero Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALAB,Astera Labs Inc. Common Stock,United States,Technology,Semiconductors
ALGM,Allegro MicroSystems Inc. Common Stock,United States,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,United States,Health Care,Industrial Specialties
ALGT,Allegiant Travel Company Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Alignment Healthcare Inc. Common Stock,United States,Health Care,Medical Specialities
ALKS,Alkermes plc Ordinary Shares,Ireland,Health Care,Biotechnology: Pharmaceutical Preparations
ALKT,Alkami Technology Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ALLT,Allot Ltd. Ordinary Shares,Israel,Telecommunications,Computer Communications Equipment
ALM,Almonty Industries Inc. Common Shares,Canada,Basic Materials,Other Metals and Minerals
ALMS,Alumis Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALNT,Allient Inc. Common Stock,United States,Industrials,Electrical Products
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALRM,Alarm.com Holdings Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ALRS,Alerus Financial Corporation Common Stock,United States,Finance,Major Banks
ALT,Altimmune Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALTI,AlTi Global Inc. Class A Common Stock,United States,Finance,Investment Managers
ALTS,ALT5 Sigma Corporation Common Stock,United States,Finance,Finance: Consumer Services
ALVO,Alvotech Ordinary Shares,Luxembourg,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALVOW,Alvotech Warrant,Luxembourg,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAL,Amalgamated Financial Corp. Common Stock (DE),United States,Finance,Major Banks
AMAT,Applied Materials Inc. Common Stock,United States,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,United States,Technology,Semiconductors
AMCX,AMC Networks Inc. Class A Common Stock,United States,Telecommunications,Cable & Other Pay Television Services
AMD,Advanced Micro Devices Inc. Common Stock,United States,Technology,Semiconductors
AMGN,Amgen Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMKR,Amkor Technology Inc. Common Stock,United States,Technology,Semiconductors
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,Amplitude Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
AMRK,A-Mark Precious Metals Inc. Common Stock,United States,Industrials,Other Specialty Stores
AMRN,Amarin Corporation plc,Ireland,Health Care,Biotechnology: Pharmaceutical Preparations
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AMSC,American Superconductor Corporation Common Stock,United States,Consumer Discretionary,Metal Fabrications
AMSF,AMERISAFE Inc. Common Stock,United States,Finance,Property-Casualty Insurers
AMWD,American Woodmark Corporation Common Stock,United States,Basic Materials,Forest Products
AMZN,Amazon.com Inc. Common Stock,United States,Consumer Discretionary,Catalog/Specialty Distribution
ANAB,AnaptysBio Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,Andersons Inc. (The) Common Stock,United States,Industrials,Farming/Seeds/Milling
ANGI,Angi Inc. Class A Common Stock,United States,Consumer Discretionary,Advertising
ANGO,AngioDynamics Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
ANIP,ANI Pharmaceuticals Inc.,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANNA,AleAnna Inc. Class A Common Stock,United States,Energy,Oil & Gas Production
ANPA,Rich Sparkle Holdings Limited Ordinary Shares,Hong Kong,Consumer Discretionary,Other Consumer Services
AOSL,Alpha and Omega Semiconductor Limited Common Shares,Bermuda,Technology,Semiconductors
APA,APA Corporation Common Stock,United States,Energy,Oil & Gas Production
APEI,American Public Education Inc. Common Stock,United States,Real Estate,Other Consumer Services
APGE,Apogee Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
API,Agora Inc. American Depositary Shares,China,Technology,Computer Software: Prepackaged Software
APLD,Applied Digital Corporation Common Stock,United States,Finance,Finance: Consumer Services
APLS,Apellis Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
APOG,Apogee Enterprises Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
APP,Applovin Corporation Class A Common Stock,United States,Technology,Computer Software: Programming Data Processing
APPF,AppFolio Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
APPS,Digital Turbine Inc. Common Stock,United States,Miscellaneous,Multi-Sector Companies
AQST,Aquestive Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ARBKL,Argo Blockchain plc 8.75% Senior Notes due 2026,United Kingdom,Finance,Finance: Consumer Services
ARCB,ArcBest Corporation Common Stock,United States,Industrials,Trucking Freight/Courier Services
ARCC,Ares Capital Corporation Common Stock,United States,Finance,Finance: Consumer Services
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,Israel,Health Care,Biotechnology: Pharmaceutical Preparations
ARDX,Ardelyx Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ARGX,argenx SE American Depositary Shares,Netherlands,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARHS,Arhaus Inc. Class A Common Stock,United States,Consumer Discretionary,Other Specialty Stores
ARKO,ARKO Corp. Common Stock,United States,Consumer Staples,Food Chains
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,United States,Energy,Coal Mining
ARM,Arm Holdings plc American Depositary Shares,United Kingdom,Technology,Semiconductors
AROW,Arrow Financial Corporation Common Stock,United States,Finance,Major Banks
ARQ,Arq Inc. Common Stock,United States,Industrials,Major Chemicals
ARQQ,Arqit Quantum Inc. Ordinary Shares,United Kingdom,Technology,Computer Software: Prepackaged Software
ARQT,Arcutis Biotherapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ARRY,Array Technologies Inc. Common Stock,United States,Consumer Discretionary,Miscellaneous manufacturing industries
ARTNA,Artesian Resources Corporation Class A Common Stock,United States,Utilities,Water Supply
ARVN,Arvinas Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ASLE,AerSale Corporation Common Stock,United States,Consumer Discretionary,Industrial Specialties
ASML,ASML Holding N.V. New York Registry Shares,Netherlands,Technology,Industrial Machinery/Components
ASND,Ascendis Pharma A/S American Depositary Shares,Denmark,Health Care,Biotechnology: Pharmaceutical Preparations
ASO,Academy Sports and Outdoors Inc. Common Stock,United States,Consumer Discretionary,Other Specialty Stores
ASPI,ASP Isotopes Inc. Common Stock,United States,Industrials,Major Chemicals
ASST,Strive Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
ASTE,Astec Industries Inc. Common Stock,United States,Industrials,Construction/Ag Equipment/Trucks
ASTH,Astrana Health Inc. Common Stock,United States,Consumer Discretionary,Professional Services
ASTL,Algoma Steel Group Inc. Common Shares,Canada,Industrials,Steel/Iron Ore
ASTS,AST SpaceMobile Inc. Class A Common Stock,United States,Consumer Discretionary,Telecommunications Equipment
ATAI,ATAI Life Sciences N.V. Common Shares,Germany,Health Care,Biotechnology: Pharmaceutical Preparations
ATAT,Atour Lifestyle Holdings Limited American Depositary Shares,China,Consumer Discretionary,Hotels/Resorts
ATEC,Alphatec Holdings Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
ATEX,Anterix Inc. Common Stock,United States,Telecommunications,Telecommunications Equipment
ATGL,Alpha Technology Group Limited Class A Ordinary Shares,China,Technology,EDP Services
ATLC,Atlanticus Holdings Corporation Common Stock,United States,Finance,Finance: Consumer Services
ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,United States,Finance,Finance: Consumer Services
ATLCP,Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock no par value per share,United States,Finance,Finance: Consumer Services
ATLCZ,Atlanticus Holdings Corporation 9.25% Senior Notes due 2029,United States,Finance,Finance: Consumer Services
ATRC,AtriCure Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
ATRO,Astronics Corporation Common Stock,United States,Industrials,Military/Government/Technical
ATXS,Astria Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AUDC,AudioCodes Ltd. Common Stock,Israel,Utilities,Telecommunications Equipment
AUGO,Aura Minerals Inc. Common Shares,United States,,
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
AUR,Aurora Innovation Inc. Class A Common Stock,United States,Technology,EDP Services
AURA,Aura Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUROW,Aurora Innovation Inc. Warrant,United States,Technology,EDP Services
AUTL,Autolus Therapeutics plc American Depositary Share,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAH,Aveanna Healthcare Holdings Inc. Common Stock,United States,Health Care,Medical/Nursing Services
AVAV,AeroVironment Inc. Common Stock,United States,Industrials,Aerospace
AVBP,ArriVent BioPharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AVDL,Avadel Pharmaceuticals plc Ordinary Share,France,Health Care,Biotechnology: Pharmaceutical Preparations
AVDX,AvidXchange Holdings Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
AVGO,Broadcom Inc. Common Stock,United States,Technology,Semiconductors
AVNW,Aviat Networks Inc. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment
AVO,Mission Produce Inc. Common Stock,United States,Consumer Staples,Farming/Seeds/Milling
AVPT,AvePoint Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
AVT,Avnet Inc. Common Stock,United States,Technology,Electronic Components
AVXL,Anavex Life Sciences Corp. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AXGN,Axogen Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXON,Axon Enterprise Inc. Common Stock,United States,Industrials,Ordnance And Accessories
AXSM,Axsome Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AZN,AstraZeneca PLC American Depositary Shares,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
AZTA,Azenta Inc.,United States,Technology,Industrial Machinery/Components
BAND,Bandwidth Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
BANF,BancFirst Corporation Common Stock,United States,Finance,Major Banks
BANFP,BancFirst Corporation - BFC Capital Trust II Cumulative Trust Preferred Securities,United States,Finance,Major Banks
BANR,Banner Corporation Common Stock,United States,Finance,Major Banks
BASE,Couchbase Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
BATRA,Atlanta Braves Holdings Inc. Series A Common Stock,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
BATRK,Atlanta Braves Holdings Inc. Series C Common Stock,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
BBCP,Concrete Pumping Holdings Inc. Common Stock,United States,Consumer Discretionary,Engineering & Construction
BBIO,BridgeBio Pharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BBNX,Beta Bionics Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
BBSI,Barrett Business Services Inc. Common Stock,United States,Consumer Discretionary,Professional Services
BCAL,California BanCorp Common Stock,United States,Finance,Major Banks
BCAX,Bicara Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BCML,BayCom Corp Common Stock,United States,Finance,Major Banks
BCPC,Balchem Corporation Common Stock,United States,Industrials,Major Chemicals
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCYC,Bicycle Therapeutics plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
BEAM,Beam Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BELFA,Bel Fuse Inc. Class A Common Stock,United States,,
BELFB,Bel Fuse Inc. Class B Common Stock,United States,,
BETR,Better Home & Finance Holding Company Class A Common Stock,United Kingdom,Finance,Finance: Consumer Services
BFC,Bank First Corporation Common Stock,United States,Finance,Major Banks
BFST,Business First Bancshares Inc. Common Stock,United States,Finance,Major Banks
BGC,BGC Group Inc. Class A Common Stock,United States,Finance,Investment Bankers/Brokers/Service
BGL,Blue Gold Limited Class A Ordinary Shares,United Kingdom,Basic Materials,Metal Mining
BGM,BGM Group Ltd. Class A Ordinary Shares,China,Health Care,Biotechnology: Pharmaceutical Preparations
BHF,Brighthouse Financial Inc. Common Stock,United States,Finance,Life Insurance
BHFAL,Brighthouse Financial Inc. 6.25% Junior Subordinated Debentures due 2058,United States,Finance,Life Insurance
BHFAM,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock Series D,United States,Finance,Life Insurance
BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C,United States,Finance,Life Insurance
BHFAO,Brighthouse Financial Inc. Depositary Shares 6.75% Non-Cumulative Preferred Stock Series B,United States,Finance,Life Insurance
BHFAP,Brighthouse Financial Inc. Depositary Shares 6.6% Non-Cumulative Preferred Stock Series A,United States,Finance,Life Insurance
BHRB,Burke & Herbert Financial Services Corp. Common Stock,United States,Finance,Major Banks
BIDU,Baidu Inc. ADS,China,Technology,Computer Software: Programming Data Processing
BIIB,Biogen Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BILI,Bilibili Inc. American Depositary Shares,China,Technology,EDP Services
BITF,Bitfarms Ltd. Common Stock,Canada,Finance,Finance: Consumer Services
BJRI,BJ's Restaurants Inc. Common Stock,United States,Consumer Discretionary,Restaurants
BKNG,Booking Holdings Inc. Common Stock,United States,Consumer Discretionary,Transportation Services
BKR,Baker Hughes Company Class A Common Stock,United States,Consumer Discretionary,Oil and Gas Field Machinery
BL,BlackLine Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
BLBD,Blue Bird Corporation Common Stock,United States,Consumer Discretionary,Construction/Ag Equipment/Trucks
BLDP,Ballard Power Systems Inc. Common Shares,Canada,Energy,Industrial Machinery/Components
BLFS,BioLife Solutions Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLKB,Blackbaud Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
BLMN,Bloomin' Brands Inc. Common Stock,United States,Consumer Discretionary,Restaurants
BLTE,Belite Bio Inc American Depositary Shares,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BLZE,Backblaze Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
BMBL,Bumble Inc. Class A Common Stock,United States,Technology,Computer Software: Programming Data Processing
BMRC,Bank of Marin Bancorp Common Stock,United States,Finance,Major Banks
BMRN,BioMarin Pharmaceutical Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BNTC,Benitec Biopharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BNTX,BioNTech SE American Depositary Share,Germany,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BOKF,BOK Financial Corporation Common Stock,United States,Finance,Major Banks
BPOP,Popular Inc. Common Stock,United States,Finance,Major Banks
BPOPM,Popular Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities,United States,Finance,Major Banks
BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1,Bermuda,Finance,Real Estate
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,Bermuda,Finance,Real Estate
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,Bermuda,Finance,Real Estate
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,Bermuda,Finance,Real Estate
BRCB,Black Rock Coffee Bar Inc. Class A Common Stock,United States,Consumer Discretionary,Restaurants
BRKR,Bruker Corporation Common Stock,United States,Industrials,Biotechnology: Laboratory Analytical Instruments
BRKRP,Bruker Corporation 6.375% Mandatory Convertible Preferred Stock Series A,United States,Industrials,Biotechnology: Laboratory Analytical Instruments
BRY,Berry Corporation (bry) Common Stock,United States,Energy,Oil & Gas Production
BRZE,Braze Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
BSRR,Sierra Bancorp Common Stock,United States,Finance,Major Banks
BSVN,Bank7 Corp. Common stock,United States,Finance,Major Banks
BSY,Bentley Systems Incorporated Class B Common Stock,United States,Technology,Computer Software: Prepackaged Software
BTBT,Bit Digital Inc. Ordinary Shares,United States,Finance,Finance: Consumer Services
BTDR,Bitdeer Technologies Group Class A Ordinary Shares,Singapore,Finance,Finance: Consumer Services
BTSG,BrightSpring Health Services Inc. Common Stock,United States,Health Care,Medical/Nursing Services
BTSGU,BrightSpring Health Services Inc. Tangible Equity Unit,United States,Health Care,Medical/Nursing Services
BULL,Webull Corporation Class A Ordinary Shares,United States,Finance,Investment Bankers/Brokers/Service
BULLW,Webull Corporation Warrants,United States,Finance,Investment Bankers/Brokers/Service
BUSE,First Busey Corporation Class A Common Stock,United States,Finance,Major Banks
BUSEP,First Busey Corporation Depositary Shares Each Representing a 1/40thInterest in a Share of 8.25% Fixed-Rate Series B Non-Cumulative Perpetual Preferred Stock $0.001 par value,United States,Finance,Major Banks
BVS,Bioventus Inc. Class A Common Stock,United States,Health Care,Medical/Dental Instruments
BWAY,BrainsWay Ltd. American Depositary Shares,Israel,Health Care,Medical/Dental Instruments
BWB,Bridgewater Bancshares Inc. Common Stock,United States,Finance,Major Banks
BWBBP,Bridgewater Bancshares Inc. Depositary Shares Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock Series A,United States,Finance,Major Banks
BWFG,Bankwell Financial Group Inc. Common Stock,United States,Finance,Major Banks
BWIN,The Baldwin Insurance Group Inc. Class A Common Stock,United States,Finance,Specialty Insurers
BWMN,Bowman Consulting Group Ltd. Common Stock,United States,Consumer Discretionary,Professional Services
BYRN,Byrna Technologies Inc. Common Stock,United States,Miscellaneous,Industrial Machinery/Components
BZ,KANZHUN LIMITED American Depository Shares,China,Technology,Computer Software: Programming Data Processing
BZAI,Blaize Holdings Inc. Common Stock,United States,Finance,Blank Checks
CAC,Camden National Corporation Common Stock,United States,Finance,Major Banks
CACC,Credit Acceptance Corporation Common Stock,United States,Finance,Finance: Consumer Services
CAI,Caris Life Sciences Inc. Common Stock,United States,Health Care,Medical Specialities
CAKE,Cheesecake Factory Incorporated (The) Common Stock,United States,Consumer Discretionary,Restaurants
CALM,Cal-Maine Foods Inc. Common Stock,United States,Consumer Staples,Farming/Seeds/Milling
CAMT,Camtek Ltd. Ordinary Shares,Israel,Technology,Electronic Components
CAN,Canaan Inc. American Depositary Shares,China,Technology,Semiconductors
CAR,Avis Budget Group Inc. Common Stock,United States,Consumer Discretionary,Rental/Leasing Companies
CARE,Carter Bankshares Inc. Common Stock,United States,Finance,Major Banks
CARG,CarGurus Inc. Class A Common Stock ,United States,Technology,EDP Services
CARL,Carlsmed Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
CART,Maplebear Inc. Common Stock,United States,Real Estate,Real Estate
CASH,Pathward Financial Inc. Common Stock,United States,Finance,Major Banks
CASS,Cass Information Systems Inc Common Stock,United States,Real Estate,Real Estate
CASY,Casey's General Stores Inc. Common Stock,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CATY,Cathay General Bancorp Common Stock,United States,Finance,Major Banks
